amount,averageofRT,degree in,degree in/degree out,favourite,mention,mention RT,name,tweet count
38,2.1579,1066,71.06666666666666,437,25,97,Pada_Sweat16,137
9,19.6667,1498,21.4,5626,60,488,Proud_Sweat16,1986
4,21.75,1324,69.6842105263158,1024,60,255,Ant_Sweat16,1513
2,57,1381,43.15625,2552,44,291,Petch_Sweat16,1771
5,15.2,1480,17.011494252873565,10201,121,445,Ae_Sweat16,4685
65,12.0923,1157,77.13333333333334,1024,49,299,anny_sweat16,447
5,45.4,3089,77.225,4828,142,986,MahnmookSweat16,2227
10,7.8,1780,61.37931034482759,1164,59,381,Mint_Sweat16,1414
8,76.25,1787,24.14864864864865,4036,88,825,Pim_Sweat16,1887
40,14.025,1689,41.19512195121951,2635,32,120,Sonja_Sweat16,703
72,15.0139,1857,37.14,3888,141,595,Music_Sweat16,2534
27,11.5926,1311,15.987804878048781,6696,70,288,Fame_Sweat16,6009
6,19.5,1397,58.208333333333336,3397,87,561,Nink_Sweat16,2527
